Dataset,Pythia 6.9B (0 shot) normalized aggregate score,T5 v1.1 XL (0 shot) normalized aggregate score,T5 v1.1 XL (2 shot) normalized aggregate score,FLAN-T5 XL (0 shot) normalized aggregate score,FLAN-T5 XL (2 shot) normalized aggregate score,Pythia 6.9B (0 shot) accuracy,T5 v1.1 XL (0 shot) accuracy,T5 v1.1 XL (2 shot) accuracy,FLAN-T5 XL (0 shot) accuracy,FLAN-T5 XL (2 shot) accuracy,Average KL-divergence from the Pile (Pythia unigrams),KL-divergence from the Pile (Pythia unigrams) (low CI),KL-divergence from the Pile (Pythia unigrams) (high CI),Average KL-divergence from the Pile (Hashed WPT bigrams),Average KL-divergence from C4 (Hashed WPT bigrams),Average MAUVE score with the Pile,Average MAUVE score with C4,Mean max cosine similarity with the Pile (mean across examples),Mean max cosine similarity with C4 (mean across examples),Mean top 1000 cosine similarity with C4 (mean across examples),Mean top 1000 cosine similarity with the Pile (mean across examples),Pythia 6.9B (0 shot) correct choice perplexity per token (mean across examples),FLAN-T5 XL (2 shot) correct choice perplexity per token (mean across examples),T5 v1.1 XL (0 shot) correct choice perplexity per token (mean across examples),T5 v1.1 XL (2 shot) correct choice perplexity per token (mean across examples),FLAN-T5 XL (0 shot) correct choice perplexity per token (mean across examples),Pythia 6.9B (0 shot) input with choices perplexity per token (mean across examples),T5 v1.1 XL (0 shot) input with choices perplexity per token (mean across examples),FLAN-T5 XL (0 shot) input with choices perplexity per token (mean across examples)
bbq_lite_json,-22.0249999999954,4.79907937297832,8.74595670564814,19.8961184374222,37.7643692460811,0.1865,0.365327195819856,0.391639711370988,0.465974122916148,0.585095794973874,1.9783053,1.9717449080326300,1.9861891827460800,1.1179551,1.0665281,0.0047490681385052,0.0046959035700596,0.880416336186186,0.888359126114239,0.857025998500364,0.842832897710015,40.4439462346394,216549.38991825,1004528162480099.2,117612048982896.44,4754.51382008264,19.5931116581337,8747.10278120029,1159.02782994466
code_line_description,-1.99556541019956,-10.8647450110865,-10.8647450110865,17.960088691796,24.6119733924612,0.233333333333333,0.166666666666667,0.166666666666667,0.383333333333333,0.433333333333333,2.7468848,2.740756290819250,2.75716847834392,2.2165227,2.3695655,0.0040720962619612,0.0040892425880379,0.929191587374612,0.929460785590238,0.884347753383445,0.891923076375898,19.4975511020288,8.31426786202893,246365.500708366,270880.499067678,45.2039609349812,8.36230377364348,8407.23690552111,2402.69307696777
conceptual_combinations,0.0,0.323624595469256,5.50161812297734,52.1035598705502,41.747572815534,0.25,0.252427184466019,0.29126213592233,0.640776699029126,0.563106796116505,2.7627883,2.748465155320860,2.7735326290130600,2.1431184,2.107881,0.0041780456269203,0.0041443181775674,0.878970775606257,0.889207862316172,0.855711895217172,0.839040895579608,2.73077792528728,1.23673650691352,425.829850821388,345.218675369359,1.38618828259329,11.0196904056136,7090.63446367262,2384.30369888856
emoji_movie,6.25000000000004,-1.24999999999995,-4.99999999999995,3.7500000000000500,3.7500000000000500,0.25,0.19,0.16,0.23,0.23,3.9487758,3.912954807281490,3.983167744793170,3.010548,3.009087,0.0040720962619612,0.0040720962619612,0.870447225498332,0.894749710657862,0.847722366787306,0.829183624224384,79.188997545727,795305.899044443,2.17792123488458E+16,3.7276528549888E+17,347.221222088061,15.4553749869722,6004.83449487243,2054.01361552986
formal_fallacies_syllogisms_negation,-0.0704225352112675,0.0,0.0,1.1830985915493,2.88732394366198,0.499647887323944,0.5,0.5,0.505915492957747,0.51443661971831,2.4556165,2.450944662094120,2.4634275436401400,1.8173335,1.8232105,0.0040720962619612,0.0040846030261773,0.939366813238107,0.938454660809545,0.920766205083694,0.910353536943762,1002.98108048171,205617592.103795,1008113935315664.2,178583234571985.62,12715918.4991679,15.6797097903105,10627.4453640306,600.074357786141
hindu_knowledge,1.9632678910703,-0.507614213197967,1.01522842639594,14.7208121827411,16.243654822335,0.262857142857143,0.245714285714286,0.257142857142857,0.36,0.371428571428571,3.2274337,3.2114481925964400,3.2403093615055600,2.5052156,2.5266178,0.0040720962619612,0.0040819432271251,0.880066087813074,0.888078136119392,0.844464330181657,0.830825480245596,23.2998133923849,190069841.66889,5046470155698354.0,1.02781406252727E+16,264520.692816719,11.9401896688488,10170.4865287256,3042.71960688082
known_unknowns,4.34782608695652,0.0,4.34782608695652,-8.69565217391305,-17.3913043478261,0.521739130434783,0.5,0.521739130434783,0.456521739130435,0.41304347826087,3.3512552,3.3270292537011300,3.364225387573240,2.861056,2.9147968,0.0042245545368819,0.0042648159552964,0.868050919252635,0.880590547026685,0.8342595189384,0.818107853422022,461.980625375252,11.5614992751,1.78638824184758E+17,11697222479257.9,28.586155282719,33.469615611665,13443.4189116925,3029.38806286049
language_identification,5.48799999999929,0.251999999999245,-0.0780000000007578,12.3409999999993,4.72899999999928,0.1408,0.0932,0.0902,0.2031,0.1339,2.807232,2.744814427666000,2.8698081970214800,1.6363556,1.6745834,0.0040720962619612,0.0040750646636248,0.952775276478432,0.949013202942505,0.933206927842831,0.934884800264926,60.286358723264,6858053894.55751,64707050798844.50,58368218132127.0,22688365.1036265,38.8598166879833,124874.322550044,89.0045202045195
logic_grid_puzzle,18.8796981570166,-2.59759106080371,-2.59759106080371,8.43128718618509,0.0145116819041646,0.441,0.293,0.293,0.369,0.311,2.7161322,2.7080178260803200,2.72670316696167,2.4200783,2.345787,0.0040720962619612,0.0040742779723611,0.968465711892755,0.97064777370815,0.961349428427625,0.958717900556558,11417.4962091796,22714354.464725,24136299541854.0,27301403114062.6,12362712.5191746,4.14061622104928,4029.22302065496,225.747551347564
logical_deduction,2.39391839684799E-13,-1.04098360655738,0.163934426229506,15.9139344262295,11.094262295082,0.2,0.217333333333333,0.226666666666667,0.348666666666667,0.311333333333333,3.0862272,3.0779368237685500,3.0945854579836300,2.5717998,2.500883,0.0040720962619612,0.0040720962619612,0.892226001700489,0.892555525642246,0.864027168962594,0.863524253950713,3.13180386558814,14.6137584037442,3284.92747673025,3402.37026236868,7.38442335714413,8.23202110771062,2106.16116798889,7.43577323801208
