,Dataset,Idx,Text,Number of Pile examples,Mean cosine similarity,Num neighbors,Embedding
0,auto_debugging,0,"```
if x < 5:
	pass
```
What error does this program surface?",130042828,0.8589140154563868,1000,ST5
1,auto_debugging,10,"```
import numpy as np
x = numpy.zeros(10)
```
What type of exception does this program produce?",130042828,0.839339982858118,1000,ST5
2,auto_debugging,11,"```
def test(x):
	for i in range(2, x**(0.5)):
		if x % int(i) == 0:
			return False
	return True
```
What is test(101)?",130042828,0.8747650806718993,1000,ST5
3,auto_debugging,12,"```
import numpy
x = numpy.zeros(10)
x += 1
```
What is the value of x at the end of this program?",130042828,0.8489767964330304,1000,ST5
4,auto_debugging,13,"```
x = [1, 2, 3]
print(x[2])
```
What is the output of this program?",130042828,0.8598830398174412,1000,ST5
5,auto_debugging,14,"```
x = [1, 2, 3]
print(x[4])
```
What error does this program produce?",130042828,0.8586016292517611,1000,ST5
6,auto_debugging,15,"```
print('1' + 2)
```
What type of exception does this program produce?",130042828,0.8540814470485,1000,ST5
7,auto_debugging,16,"```
x = [2*i for i in range(10)]
```
What is x[7] after this program executes?",130042828,0.8520569350602273,1000,ST5
8,auto_debugging,17,"```
class MyClass():
	def __init__(self, param):
		self.param = param
x = MyClass(5)
y = MyClass(x.param)
```
What is the value of y.param at the end of this program?",130042828,0.8766561518670771,1000,ST5
9,auto_debugging,1,"```
d = {1: 'hello', 2: 'bye', 3: 'good morning'}
str_ = ''
for i in range(len(d)):
	if i % 2 == 1:
		str_ += d[i]
```
What is the value of str_ after this program executes?",130042828,0.8756084278675038,1000,ST5
10,auto_debugging,2,"```
class MyClass():
	def __init__(self, param):
		self.param = param
x = MyClass(5)
y = MyClass(x.param)
```
What is the value of x.param at the end of this program?",130042828,0.8768294618523191,1000,ST5
11,auto_debugging,3,"```
def sq(x):
	return x*x
y = sq(5)
x = sq(3)
```
What is the value of x at the end of this program?",130042828,0.8558758501696573,1000,ST5
12,auto_debugging,4,"```
class MyClass():
	def __init__(self):
		print(param)
x = MyClass(5)
```
What is the value of x.param at the end of this program?",130042828,0.8731077982338242,1000,ST5
13,auto_debugging,5,"```
while True
	print('hello world')
```
What type of exception does this program produce?",130042828,0.8545535864251271,1000,ST5
14,auto_debugging,6,"```
sum = 0
for i in range(100):
	sum += i
```
What is the value of sum immediately after the 10th time line 3 is executed?",130042828,0.8461863589427434,1000,ST5
15,auto_debugging,7,"```
y = list(map(int, ['1', 'hello', '2']))
```
What error does this program produce?",130042828,0.860793421010981,1000,ST5
16,auto_debugging,8,"```
sum = 0
for i in range(100, 0, -2):
	sum += i
```
What is the value of sum at the end of this program?",130042828,0.8505478212877222,1000,ST5
17,auto_debugging,9,"```
def sq(x):
	return x*x
y = sq(5)
x = sq(y)
```
What is the value of x at the end of this program?",130042828,0.8536473061219189,1000,ST5
